ID_Transacao,Empresa,ID_Operador,Data_Hora,Descricao_Produto,Quantidade,Preco_Unitario,Desconto_Aplicado,Valor_Total,Metodo_Pagamento
100064,pmw2026,105,2026-02-27 00:00:00,Óleo de Soja,3,6.9,0.0,20.7,PIX
100065,pmw2026,104,2026-02-05 20:00:00,Leite Integral,1,5.2,0.0,5.2,Dinheiro
100066,pmw2026,101,2026-01-19 17:00:00,Café 500g,2,16.9,0.0,33.8,Cartão de Crédito
100067,pmw2026,101,2026-02-04 05:00:00,Shampoo,5,18.0,0.0,90.0,PIX
100068,pmw2026,103,2026-03-24 00:00:00,Mussarela 1kg,4,45.9,0.0,183.6,Cartão de Crédito
100069,pmw2026,102,2026-02-13 04:00:00,Patinho 1kg,4,38.9,0.0,155.6,PIX
100070,pmw2026,104,2026-01-03 10:00:00,Óleo de Soja,2,6.9,0.0,13.8,Dinheiro
100071,pmw2026,105,2026-02-24 02:00:00,Mussarela 1kg,3,45.9,0.0,137.7,Dinheiro
100072,pmw2026,105,2026-02-01 10:00:00,Feijão 1kg,5,8.5,21.2,21.3,PIX
100073,pmw2026,103,2026-01-12 16:00:00,Feijão 1kg,1,8.5,0.0,8.5,PIX
100074,pmw2026,101,2026-04-01 22:00:00,Óleo de Soja,2,6.9,0.0,13.8,Cartão de Débito
100075,pmw2026,105,2026-02-02 07:00:00,Detergente,4,2.5,5.91,4.09,PIX
100076,pmw2026,102,2026-01-19 19:00:00,Pão de Forma,5,7.5,0.0,37.5,Cartão de Débito
100077,pmw2026,104,2026-01-12 17:00:00,Café 500g,4,16.9,0.0,67.6,Cartão de Débito
100078,pmw2026,101,2026-02-23 10:00:00,Leite Integral,3,5.2,0.0,15.6,Cartão de Crédito
100079,pmw2026,101,2026-03-28 20:00:00,Patinho 1kg,5,38.9,0.0,194.5,PIX
100080,pmw2026,101,2026-02-08 19:00:00,Patinho 1kg,4,38.9,0.0,155.6,Cartão de Crédito
100081,pmw2026,104,2026-01-18 05:00:00,Feijão 1kg,1,8.5,0.0,8.5,Dinheiro
100082,pmw2026,105,2026-02-20 03:00:00,Mussarela 1kg,4,45.9,0.0,183.6,Dinheiro
100083,pmw2026,101,2026-03-14 04:00:00,Shampoo,3,18.0,0.0,54.0,Dinheiro
100084,pmw2026,102,2026-01-17 09:00:00,Shampoo,2,18.0,0.0,36.0,PIX
100085,pmw2026,102,2026-01-24 03:00:00,Pão de Forma,2,7.5,0.0,15.0,Cartão de Débito
100086,pmw2026,104,2026-02-06 06:00:00,Arroz 5kg,1,24.9,0.0,24.9,PIX
100087,pmw2026,102,2026-02-06 04:00:00,Shampoo,1,18.0,0.0,18.0,Dinheiro
100088,pmw2026,101,2026-02-22 10:00:00,Feijão 1kg,2,8.5,0.0,17.0,Cartão de Crédito
100089,pmw2026,102,2026-03-18 08:00:00,Patinho 1kg,2,38.9,0.0,77.8,Cartão de Crédito
100090,pmw2026,104,2026-03-28 23:00:00,Café 500g,3,16.9,0.0,50.7,Cartão de Crédito
100091,pmw2026,101,2026-02-26 23:00:00,Pão de Forma,1,7.5,0.0,7.5,PIX
100092,pmw2026,105,2026-01-14 22:00:00,Shampoo,4,18.0,37.24,34.76,Dinheiro
100093,pmw2026,104,2026-03-03 23:00:00,Patinho 1kg,5,38.9,0.0,194.5,PIX
100094,pmw2026,103,2026-01-02 17:00:00,Arroz 5kg,1,24.9,0.0,24.9,Dinheiro
100095,pmw2026,101,2026-01-19 07:00:00,Detergente,1,2.5,0.0,2.5,PIX
100096,pmw2026,105,2026-01-19 05:00:00,Leite Integral,5,5.2,0.0,26.0,PIX
100097,pmw2026,102,2026-03-28 15:00:00,Pão de Forma,4,7.5,0.0,30.0,Cartão de Crédito
100098,pmw2026,102,2026-01-26 09:00:00,Café 500g,4,16.9,0.0,67.6,PIX
100099,pmw2026,104,2026-01-16 22:00:00,Feijão 1kg,1,8.5,0.0,8.5,PIX
100100,pmw2026,101,2026-03-12 07:00:00,Shampoo,4,18.0,0.0,72.0,PIX
100101,pmw2026,102,2026-02-16 01:00:00,Arroz 5kg,3,24.9,0.0,74.7,Cartão de Crédito
100102,pmw2026,103,2026-02-18 09:00:00,Shampoo,2,18.0,0.0,36.0,Cartão de Crédito
100103,pmw2026,105,2026-02-26 06:00:00,Leite Integral,2,5.2,0.0,10.4,Cartão de Débito
100104,pmw2026,101,2026-02-08 07:00:00,Leite Integral,4,5.2,0.0,20.8,Cartão de Débito
100105,pmw2026,104,2026-02-13 12:00:00,Shampoo,2,18.0,0.0,36.0,Cartão de Crédito
100106,pmw2026,103,2026-03-28 18:00:00,Óleo de Soja,2,6.9,0.0,13.8,Dinheiro
100107,pmw2026,102,2026-02-19 17:00:00,Óleo de Soja,2,6.9,0.0,13.8,PIX
100108,pmw2026,103,2026-03-20 06:00:00,Mussarela 1kg,2,45.9,0.0,91.8,Cartão de Débito
100109,pmw2026,103,2026-02-22 13:00:00,Mussarela 1kg,2,45.9,0.0,91.8,PIX
100110,pmw2026,101,2026-02-13 12:00:00,Mussarela 1kg,3,45.9,0.0,137.7,Cartão de Débito
100111,pmw2026,105,2026-03-16 20:00:00,Pão de Forma,4,7.5,0.0,30.0,Dinheiro
100112,pmw2026,101,2026-02-27 01:00:00,Shampoo,2,18.0,0.0,36.0,Dinheiro
100113,pmw2026,104,2026-01-11 01:00:00,Óleo de Soja,1,6.9,0.0,6.9,PIX
100114,pmw2026,104,2026-01-13 23:00:00,Café 500g,1,16.9,0.0,16.9,Cartão de Crédito
100115,pmw2026,101,2026-02-22 21:00:00,Pão de Forma,1,7.5,0.0,7.5,Cartão de Crédito
100116,pmw2026,101,2026-02-26 02:00:00,Leite Integral,3,5.2,0.0,15.6,Dinheiro
100117,pmw2026,103,2026-01-29 02:00:00,Pão de Forma,5,7.5,0.0,37.5,PIX
100118,pmw2026,101,2026-03-04 03:00:00,Óleo de Soja,4,6.9,0.0,27.6,PIX
100119,pmw2026,101,2026-03-20 02:00:00,Detergente,5,2.5,0.0,12.5,Cartão de Crédito
100120,pmw2026,102,2026-01-20 05:00:00,Shampoo,3,18.0,0.0,54.0,Dinheiro
100121,pmw2026,103,2026-03-30 10:00:00,Leite Integral,3,5.2,0.0,15.6,PIX
100122,pmw2026,103,2026-03-20 20:00:00,Shampoo,5,18.0,0.0,90.0,Dinheiro
100123,pmw2026,102,2026-01-16 13:00:00,Detergente,5,2.5,0.0,12.5,Cartão de Crédito
100124,pmw2026,102,2026-04-01 22:00:00,Mussarela 1kg,4,45.9,0.0,183.6,Cartão de Crédito
100125,pmw2026,103,2026-02-13 06:00:00,Shampoo,3,18.0,0.0,54.0,Cartão de Débito
100126,pmw2026,101,2026-02-01 20:00:00,Shampoo,1,18.0,0.0,18.0,Dinheiro
100127,pmw2026,102,2026-03-28 02:00:00,Detergente,4,2.5,0.0,10.0,Cartão de Débito
100128,pmw2026,105,2026-02-08 06:00:00,Feijão 1kg,4,8.5,0.0,34.0,PIX
100129,pmw2026,104,2026-02-24 04:00:00,Feijão 1kg,2,8.5,0.0,17.0,Dinheiro
100130,pmw2026,102,2026-01-31 03:00:00,Café 500g,5,16.9,0.0,84.5,Cartão de Crédito
100131,pmw2026,104,2026-03-15 14:00:00,Arroz 5kg,4,24.9,0.0,99.6,PIX
100132,pmw2026,104,2026-01-18 09:00:00,Leite Integral,1,5.2,0.0,5.2,Cartão de Débito
100133,pmw2026,102,2026-03-16 10:00:00,Leite Integral,4,5.2,0.0,20.8,Cartão de Débito
100134,pmw2026,102,2026-02-01 09:00:00,Detergente,3,2.5,0.0,7.5,Cartão de Débito
100135,pmw2026,102,2026-03-03 17:00:00,Óleo de Soja,2,6.9,0.0,13.8,Cartão de Crédito
100136,pmw2026,102,2026-01-12 02:00:00,Arroz 5kg,3,24.9,0.0,74.7,PIX
100137,pmw2026,105,2026-03-14 18:00:00,Café 500g,2,16.9,0.0,33.8,Dinheiro
100138,pmw2026,104,2026-01-15 20:00:00,Patinho 1kg,2,38.9,0.0,77.8,Cartão de Débito
100139,pmw2026,102,2026-02-26 21:00:00,Mussarela 1kg,1,45.9,0.0,45.9,Dinheiro
100140,pmw2026,104,2026-02-04 06:00:00,Café 500g,1,16.9,0.0,16.9,PIX
100141,pmw2026,105,2026-01-31 12:00:00,Feijão 1kg,4,8.5,0.0,34.0,Dinheiro
100142,pmw2026,103,2026-01-12 05:00:00,Arroz 5kg,5,24.9,0.0,124.5,PIX
100143,pmw2026,103,2026-03-29 20:00:00,Leite Integral,1,5.2,0.0,5.2,Dinheiro
100144,pmw2026,102,2026-03-18 02:00:00,Feijão 1kg,1,8.5,0.0,8.5,Cartão de Débito
100145,pmw2026,102,2026-01-17 10:00:00,Feijão 1kg,3,8.5,0.0,25.5,PIX
100146,pmw2026,103,2026-03-05 14:00:00,Pão de Forma,5,7.5,0.0,37.5,PIX
100147,pmw2026,105,2026-01-15 10:00:00,Patinho 1kg,2,38.9,0.0,77.8,Dinheiro
100148,pmw2026,103,2026-01-22 05:00:00,Patinho 1kg,5,38.9,0.0,194.5,PIX
100149,pmw2026,103,2026-01-16 03:00:00,Mussarela 1kg,3,45.9,0.0,137.7,Cartão de Crédito
100150,pmw2026,102,2026-02-02 11:00:00,Patinho 1kg,4,38.9,0.0,155.6,PIX
100151,pmw2026,101,2026-03-04 05:00:00,Leite Integral,2,5.2,0.0,10.4,Cartão de Débito
100152,pmw2026,105,2026-02-08 10:00:00,Café 500g,5,16.9,57.29,27.21,Cartão de Débito
100153,pmw2026,104,2026-03-14 07:00:00,Arroz 5kg,2,24.9,0.0,49.8,Cartão de Débito
100154,pmw2026,104,2026-01-07 23:00:00,Pão de Forma,1,7.5,0.0,7.5,Cartão de Crédito
100155,pmw2026,102,2026-02-04 14:00:00,Óleo de Soja,1,6.9,0.0,6.9,Dinheiro
100156,pmw2026,104,2026-03-05 13:00:00,Detergente,2,2.5,0.0,5.0,Cartão de Débito
100157,pmw2026,101,2026-03-15 02:00:00,Detergente,4,2.5,0.0,10.0,Cartão de Débito
100158,pmw2026,103,2026-03-09 00:00:00,Arroz 5kg,2,24.9,0.0,49.8,Cartão de Débito
100159,pmw2026,105,2026-02-21 04:00:00,Feijão 1kg,1,8.5,0.0,8.5,Cartão de Crédito
100160,pmw2026,101,2026-03-21 05:00:00,Óleo de Soja,1,6.9,0.0,6.9,Cartão de Débito
100161,pmw2026,101,2026-02-19 11:00:00,Óleo de Soja,3,6.9,0.0,20.7,Cartão de Crédito
100162,pmw2026,101,2026-03-10 08:00:00,Café 500g,4,16.9,0.0,67.6,PIX
100163,pmw2026,105,2026-01-21 10:00:00,Detergente,2,2.5,2.24,2.76,Cartão de Crédito
100164,pmw2026,105,2026-01-04 15:00:00,Feijão 1kg,1,8.5,3.86,4.64,Cartão de Crédito
100165,pmw2026,103,2026-02-22 07:00:00,Óleo de Soja,4,6.9,0.0,27.6,PIX
100166,pmw2026,101,2026-03-28 05:00:00,Mussarela 1kg,5,45.9,0.0,229.5,PIX
100167,pmw2026,105,2026-01-13 16:00:00,Detergente,3,2.5,0.0,7.5,Cartão de Débito
100168,pmw2026,103,2026-01-14 16:00:00,Detergente,1,2.5,0.0,2.5,PIX
100169,pmw2026,103,2026-01-25 02:00:00,Shampoo,5,18.0,0.0,90.0,PIX
100170,pmw2026,105,2026-02-20 17:00:00,Óleo de Soja,3,6.9,0.0,20.7,Cartão de Crédito
100171,pmw2026,104,2026-01-10 06:00:00,Patinho 1kg,3,38.9,0.0,116.7,PIX
100172,pmw2026,104,2026-02-14 05:00:00,Shampoo,4,18.0,0.0,72.0,Dinheiro
100173,pmw2026,104,2026-02-25 17:00:00,Detergente,3,2.5,0.0,7.5,Cartão de Crédito
100174,pmw2026,104,2026-01-13 22:00:00,Leite Integral,3,5.2,0.0,15.6,Dinheiro
100175,pmw2026,105,2026-02-23 07:00:00,Shampoo,3,18.0,39.91,14.09,Cartão de Débito
100176,pmw2026,103,2026-01-18 09:00:00,Patinho 1kg,5,38.9,0.0,194.5,Dinheiro
100177,pmw2026,105,2026-02-22 03:00:00,Mussarela 1kg,3,45.9,69.16,68.54,Cartão de Débito
100178,pmw2026,104,2026-01-13 01:00:00,Pão de Forma,3,7.5,0.0,22.5,Cartão de Débito
100179,pmw2026,103,2026-01-14 20:00:00,Feijão 1kg,3,8.5,0.0,25.5,Dinheiro
100180,pmw2026,102,2026-03-15 00:00:00,Óleo de Soja,4,6.9,0.0,27.6,Cartão de Crédito
100181,pmw2026,105,2026-03-03 07:00:00,Pão de Forma,5,7.5,0.0,37.5,Cartão de Crédito
100182,pmw2026,103,2026-02-25 22:00:00,Café 500g,1,16.9,0.0,16.9,Cartão de Débito
100183,pmw2026,105,2026-03-09 18:00:00,Feijão 1kg,1,8.5,0.0,8.5,Cartão de Crédito
100184,pmw2026,101,2026-02-15 19:00:00,Óleo de Soja,4,6.9,0.0,27.6,Dinheiro
100185,pmw2026,105,2026-01-28 05:00:00,Feijão 1kg,2,8.5,0.0,17.0,Cartão de Crédito
100186,pmw2026,104,2026-02-25 21:00:00,Óleo de Soja,2,6.9,0.0,13.8,PIX
100187,pmw2026,103,2026-02-15 21:00:00,Detergente,2,2.5,0.0,5.0,PIX
100188,pmw2026,102,2026-03-01 14:00:00,Pão de Forma,2,7.5,0.0,15.0,PIX
100189,pmw2026,102,2026-03-16 01:00:00,Pão de Forma,5,7.5,0.0,37.5,PIX
100190,pmw2026,103,2026-01-25 14:00:00,Mussarela 1kg,1,45.9,0.0,45.9,PIX
100191,pmw2026,103,2026-02-21 14:00:00,Detergente,1,2.5,0.0,2.5,Cartão de Débito
100192,pmw2026,105,2026-03-01 11:00:00,Feijão 1kg,4,8.5,0.0,34.0,Cartão de Crédito
100193,pmw2026,102,2026-03-14 05:00:00,Óleo de Soja,3,6.9,0.0,20.7,Dinheiro
100194,pmw2026,105,2026-03-18 07:00:00,Detergente,4,2.5,0.0,10.0,Cartão de Crédito
100195,pmw2026,104,2026-02-19 01:00:00,Feijão 1kg,5,8.5,0.0,42.5,Cartão de Débito
100196,pmw2026,102,2026-01-30 03:00:00,Leite Integral,5,5.2,0.0,26.0,Cartão de Débito
100197,pmw2026,103,2026-03-29 13:00:00,Patinho 1kg,2,38.9,0.0,77.8,Cartão de Débito
100198,pmw2026,103,2026-02-11 08:00:00,Óleo de Soja,3,6.9,0.0,20.7,Cartão de Débito
100199,pmw2026,103,2026-01-09 21:00:00,Leite Integral,4,5.2,0.0,20.8,Cartão de Débito
100200,pmw2026,101,2026-03-08 05:00:00,Café 500g,3,16.9,0.0,50.7,Dinheiro
100201,pmw2026,104,2026-01-11 22:00:00,Óleo de Soja,5,6.9,0.0,34.5,Cartão de Crédito
100202,pmw2026,104,2026-02-01 05:00:00,Mussarela 1kg,5,45.9,0.0,229.5,Cartão de Crédito
100203,pmw2026,104,2026-03-10 14:00:00,Arroz 5kg,5,24.9,0.0,124.5,Cartão de Crédito
100204,pmw2026,103,2026-02-21 13:00:00,Detergente,5,2.5,0.0,12.5,PIX
100205,pmw2026,105,2026-01-03 08:00:00,Café 500g,2,16.9,16.0,17.8,Dinheiro
100206,pmw2026,102,2026-02-13 16:00:00,Óleo de Soja,3,6.9,0.0,20.7,Cartão de Crédito
100207,pmw2026,104,2026-03-07 11:00:00,Detergente,4,2.5,0.0,10.0,Cartão de Crédito
100208,pmw2026,105,2026-01-04 08:00:00,Feijão 1kg,3,8.5,15.22,10.28,PIX
100209,pmw2026,103,2026-03-03 16:00:00,Pão de Forma,2,7.5,0.0,15.0,Cartão de Débito
100210,pmw2026,103,2026-02-15 07:00:00,Café 500g,4,16.9,0.0,67.6,PIX
100211,pmw2026,103,2026-01-05 12:00:00,Leite Integral,3,5.2,0.0,15.6,Cartão de Débito
100212,pmw2026,105,2026-01-06 05:00:00,Shampoo,5,18.0,0.0,90.0,Cartão de Crédito
100213,pmw2026,105,2026-01-07 19:00:00,Óleo de Soja,2,6.9,9.12,4.68,Cartão de Débito
100214,pmw2026,104,2026-01-25 01:00:00,Patinho 1kg,5,38.9,0.0,194.5,Dinheiro
100215,pmw2026,104,2026-03-27 08:00:00,Patinho 1kg,1,38.9,0.0,38.9,Cartão de Crédito
100216,pmw2026,101,2026-01-10 21:00:00,Leite Integral,2,5.2,0.0,10.4,PIX
100217,pmw2026,105,2026-03-28 22:00:00,Feijão 1kg,3,8.5,14.52,10.98,Cartão de Crédito
100218,pmw2026,105,2026-01-15 12:00:00,Leite Integral,5,5.2,12.17,13.83,Cartão de Débito
100219,pmw2026,101,2026-01-02 16:00:00,Mussarela 1kg,2,45.9,0.0,91.8,Dinheiro
100220,pmw2026,105,2026-02-02 22:00:00,Arroz 5kg,1,24.9,0.0,24.9,Dinheiro
100221,pmw2026,105,2026-02-21 06:00:00,Arroz 5kg,4,24.9,0.0,99.6,Cartão de Crédito
100222,pmw2026,101,2026-01-06 00:00:00,Detergente,4,2.5,0.0,10.0,PIX
100223,pmw2026,104,2026-01-09 17:00:00,Shampoo,1,18.0,0.0,18.0,Cartão de Crédito
100224,pmw2026,105,2026-02-18 07:00:00,Mussarela 1kg,3,45.9,92.99,44.71,Cartão de Crédito
100225,pmw2026,101,2026-03-13 15:00:00,Pão de Forma,5,7.5,0.0,37.5,Cartão de Crédito
100226,pmw2026,103,2026-02-19 11:00:00,Detergente,3,2.5,0.0,7.5,PIX
100227,pmw2026,102,2026-02-08 18:00:00,Arroz 5kg,3,24.9,0.0,74.7,PIX
100228,pmw2026,101,2026-03-15 14:00:00,Detergente,2,2.5,0.0,5.0,Cartão de Crédito
100229,pmw2026,104,2026-01-16 19:00:00,Arroz 5kg,3,24.9,0.0,74.7,Cartão de Crédito
100230,pmw2026,101,2026-02-05 21:00:00,Pão de Forma,3,7.5,0.0,22.5,Cartão de Débito
100231,pmw2026,101,2026-01-20 18:00:00,Shampoo,3,18.0,0.0,54.0,PIX
100232,pmw2026,102,2026-03-13 23:00:00,Mussarela 1kg,4,45.9,0.0,183.6,Cartão de Débito
100233,pmw2026,105,2026-03-14 05:00:00,Leite Integral,1,5.2,0.0,5.2,Dinheiro
100234,pmw2026,105,2026-02-24 13:00:00,Arroz 5kg,1,24.9,0.0,24.9,Cartão de Crédito
100235,pmw2026,102,2026-03-12 02:00:00,Café 500g,5,16.9,0.0,84.5,Cartão de Crédito
100236,pmw2026,105,2026-01-17 07:00:00,Detergente,4,2.5,0.0,10.0,Dinheiro
100237,pmw2026,104,2026-03-07 11:00:00,Arroz 5kg,2,24.9,0.0,49.8,PIX
100238,pmw2026,103,2026-01-01 12:00:00,Café 500g,4,16.9,0.0,67.6,Cartão de Crédito
100239,pmw2026,105,2026-02-05 13:00:00,Feijão 1kg,5,8.5,0.0,42.5,Dinheiro
100240,pmw2026,104,2026-03-26 01:00:00,Patinho 1kg,3,38.9,0.0,116.7,Dinheiro
100241,pmw2026,105,2026-04-01 05:00:00,Óleo de Soja,5,6.9,24.5,10.0,Cartão de Crédito
100242,pmw2026,105,2026-02-06 06:00:00,Óleo de Soja,1,6.9,4.35,2.55,Cartão de Débito
100243,pmw2026,105,2026-01-13 12:00:00,Leite Integral,3,5.2,0.0,15.6,Cartão de Débito
100244,pmw2026,104,2026-01-31 11:00:00,Shampoo,4,18.0,0.0,72.0,Cartão de Débito
100245,pmw2026,102,2026-03-31 09:00:00,Detergente,4,2.5,0.0,10.0,PIX
100246,pmw2026,102,2026-03-01 15:00:00,Café 500g,4,16.9,0.0,67.6,Cartão de Débito
100247,pmw2026,103,2026-02-11 23:00:00,Mussarela 1kg,1,45.9,0.0,45.9,PIX
100248,pmw2026,102,2026-03-09 18:00:00,Shampoo,3,18.0,0.0,54.0,Dinheiro
100249,pmw2026,104,2026-01-02 03:00:00,Café 500g,4,16.9,0.0,67.6,Cartão de Débito
100250,pmw2026,101,2026-03-20 15:00:00,Café 500g,5,16.9,0.0,84.5,Dinheiro
100251,pmw2026,104,2026-03-16 13:00:00,Shampoo,5,18.0,0.0,90.0,PIX
100252,pmw2026,104,2026-02-22 09:00:00,Patinho 1kg,3,38.9,0.0,116.7,Dinheiro
100253,pmw2026,103,2026-01-15 05:00:00,Feijão 1kg,1,8.5,0.0,8.5,PIX
100254,pmw2026,103,2026-02-28 10:00:00,Pão de Forma,1,7.5,0.0,7.5,Cartão de Débito
100255,pmw2026,101,2026-02-28 19:00:00,Mussarela 1kg,2,45.9,0.0,91.8,Cartão de Crédito
100256,pmw2026,105,2026-01-29 23:00:00,Patinho 1kg,3,38.9,0.0,116.7,Cartão de Crédito
100257,pmw2026,102,2026-02-16 16:00:00,Patinho 1kg,3,38.9,0.0,116.7,Dinheiro
100258,pmw2026,101,2026-01-17 08:00:00,Mussarela 1kg,1,45.9,0.0,45.9,Cartão de Débito
100259,pmw2026,104,2026-01-12 20:00:00,Patinho 1kg,3,38.9,0.0,116.7,Cartão de Crédito
